SubjID Var1 Var2 Var3 Patterns FreqPatterns initial_gik1 initial_gik2 final_gik1 final_gik2
ID1 3 2 4 324 54 0.5 0.5 0 1
ID10 1 1 3 113 40 0.5 0.5 1 0
ID100 3 1 2 312 41 0.5 0.5 0 1
ID1000 2 1 3 213 55 0.5 0.5 1 0
ID101 3 2 4 324 54 0.5 0.5 0 1
ID102 2 2 3 223 44 0.5 0.5 1 0
ID103 2 1 1 211 52 0.5 0.5 1 0
ID104 3 2 1 321 41 0.5 0.5 0.4815 0.5185
ID105 1 1 3 113 40 0.5 0.5 1 0
ID106 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID107 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID108 2 1 1 211 52 0.5 0.5 1 0
ID109 2 1 1 211 52 0.5 0.5 1 0
ID11 2 1 4 214 46 0.5 0.5 0 1
ID110 2 2 2 222 30 0.5 0.5 0 1
ID111 2 1 1 211 52 0.5 0.5 1 0
ID112 2 2 2 222 30 0.5 0.5 0 1
ID113 2 2 3 223 44 0.5 0.5 1 0
ID114 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID115 2 1 4 214 46 0.5 0.5 0 1
ID116 1 2 4 124 26 0.5 0.5 0.4815 0.5185
ID117 2 2 3 223 44 0.5 0.5 1 0
ID118 2 1 1 211 52 0.5 0.5 1 0
ID119 2 1 3 213 55 0.5 0.5 1 0
ID12 2 1 1 211 52 0.5 0.5 1 0
ID120 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID121 2 1 2 212 34 0.5 0.5 0 1
ID122 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID123 2 2 3 223 44 0.5 0.5 1 0
ID124 3 1 3 313 40 0.5 0.5 0.5177 0.4823
ID125 1 1 4 114 45 0.5 0.5 0.5177 0.4823
ID126 3 1 1 311 39 0.5 0.5 0.5177 0.4823
ID127 3 1 2 312 41 0.5 0.5 0 1
ID128 3 2 2 322 41 0.5 0.5 0 1
ID129 1 2 4 124 26 0.5 0.5 0.4815 0.5185
ID13 1 2 2 122 40 0.5 0.5 0.4815 0.5185
ID130 3 2 2 322 41 0.5 0.5 0 1
ID131 3 1 4 314 40 0.5 0.5 0 1
